Id problem,Weights,Prices,Capacity,Best picks,Best price,Average Weights,Average Prices,Cost function,Constraint
3160,"[22, 16, 8, 47, 6]","[13, 10, 9, 2, 3]",76,"[1, 1, 1, 0, 1]",35,19.8,7.4,Maximize: 13*x0 + 10*x1 + 9*x2 + 2*x3 + 3*x4,Constraint: 22*x0 + 16*x1 + 8*x2 + 47*x3 + 6*x4 <= 76
3161,"[37, 35, 42, 35, 36]","[11, 15, 16, 11, 3]",98,"[0, 1, 1, 0, 0]",31,37.0,11.2,Maximize: 11*x0 + 15*x1 + 16*x2 + 11*x3 + 3*x4,Constraint: 37*x0 + 35*x1 + 42*x2 + 35*x3 + 36*x4 <= 98
3162,"[3, 10, 46, 36, 49]","[17, 4, 8, 10, 17]",82,"[1, 1, 0, 0, 1]",38,28.8,11.2,Maximize: 17*x0 + 4*x1 + 8*x2 + 10*x3 + 17*x4,Constraint: 3*x0 + 10*x1 + 46*x2 + 36*x3 + 49*x4 <= 82
3163,"[8, 38, 2, 36, 22]","[7, 12, 17, 15, 13]",22,"[1, 0, 1, 0, 0]",24,21.2,12.8,Maximize: 7*x0 + 12*x1 + 17*x2 + 15*x3 + 13*x4,Constraint: 8*x0 + 38*x1 + 2*x2 + 36*x3 + 22*x4 <= 22
3164,"[3, 18, 38, 44, 38]","[9, 19, 19, 13, 5]",68,"[1, 1, 1, 0, 0]",47,28.2,13.0,Maximize: 9*x0 + 19*x1 + 19*x2 + 13*x3 + 5*x4,Constraint: 3*x0 + 18*x1 + 38*x2 + 44*x3 + 38*x4 <= 68
3165,"[11, 6, 48, 32, 47]","[3, 8, 4, 8, 4]",54,"[1, 1, 0, 1, 0]",19,28.8,5.4,Maximize: 3*x0 + 8*x1 + 4*x2 + 8*x3 + 4*x4,Constraint: 11*x0 + 6*x1 + 48*x2 + 32*x3 + 47*x4 <= 54
3166,"[39, 41, 27, 22, 3]","[16, 9, 9, 15, 19]",60,"[0, 0, 1, 1, 1]",43,26.4,13.6,Maximize: 16*x0 + 9*x1 + 9*x2 + 15*x3 + 19*x4,Constraint: 39*x0 + 41*x1 + 27*x2 + 22*x3 + 3*x4 <= 60
3167,"[16, 39, 9, 34, 3]","[5, 9, 14, 9, 18]",35,"[1, 0, 1, 0, 1]",37,20.2,11.0,Maximize: 5*x0 + 9*x1 + 14*x2 + 9*x3 + 18*x4,Constraint: 16*x0 + 39*x1 + 9*x2 + 34*x3 + 3*x4 <= 35
3168,"[16, 25, 19, 33, 38]","[11, 17, 9, 9, 19]",67,"[1, 1, 1, 0, 0]",37,26.2,13.0,Maximize: 11*x0 + 17*x1 + 9*x2 + 9*x3 + 19*x4,Constraint: 16*x0 + 25*x1 + 19*x2 + 33*x3 + 38*x4 <= 67
3169,"[43, 40, 39, 19, 3]","[5, 14, 5, 19, 18]",68,"[0, 1, 0, 1, 1]",51,28.8,12.2,Maximize: 5*x0 + 14*x1 + 5*x2 + 19*x3 + 18*x4,Constraint: 43*x0 + 40*x1 + 39*x2 + 19*x3 + 3*x4 <= 68
3170,"[14, 19, 26, 30, 44]","[19, 9, 10, 2, 17]",25,"[1, 0, 0, 0, 0]",19,26.6,11.4,Maximize: 19*x0 + 9*x1 + 10*x2 + 2*x3 + 17*x4,Constraint: 14*x0 + 19*x1 + 26*x2 + 30*x3 + 44*x4 <= 25
3171,"[44, 27, 39, 18, 9]","[16, 15, 16, 5, 14]",97,"[0, 1, 1, 1, 1]",50,27.4,13.2,Maximize: 16*x0 + 15*x1 + 16*x2 + 5*x3 + 14*x4,Constraint: 44*x0 + 27*x1 + 39*x2 + 18*x3 + 9*x4 <= 97
3172,"[6, 34, 22, 26, 19]","[6, 9, 19, 14, 6]",78,"[1, 0, 1, 1, 1]",45,21.4,10.8,Maximize: 6*x0 + 9*x1 + 19*x2 + 14*x3 + 6*x4,Constraint: 6*x0 + 34*x1 + 22*x2 + 26*x3 + 19*x4 <= 78
3173,"[18, 22, 5, 46, 11]","[8, 13, 3, 2, 18]",75,"[1, 1, 1, 0, 1]",42,20.4,8.8,Maximize: 8*x0 + 13*x1 + 3*x2 + 2*x3 + 18*x4,Constraint: 18*x0 + 22*x1 + 5*x2 + 46*x3 + 11*x4 <= 75
3174,"[20, 46, 32, 17, 37]","[13, 18, 2, 5, 14]",91,"[1, 1, 0, 1, 0]",36,30.4,10.4,Maximize: 13*x0 + 18*x1 + 2*x2 + 5*x3 + 14*x4,Constraint: 20*x0 + 46*x1 + 32*x2 + 17*x3 + 37*x4 <= 91
3175,"[11, 9, 43, 21, 28]","[8, 4, 14, 9, 14]",56,"[1, 1, 0, 0, 1]",26,22.4,9.8,Maximize: 8*x0 + 4*x1 + 14*x2 + 9*x3 + 14*x4,Constraint: 11*x0 + 9*x1 + 43*x2 + 21*x3 + 28*x4 <= 56
3176,"[39, 5, 46, 3, 8]","[9, 16, 14, 14, 1]",53,"[1, 1, 0, 1, 0]",39,20.2,10.8,Maximize: 9*x0 + 16*x1 + 14*x2 + 14*x3 + 1*x4,Constraint: 39*x0 + 5*x1 + 46*x2 + 3*x3 + 8*x4 <= 53
3177,"[19, 32, 40, 5, 48]","[12, 17, 3, 1, 5]",28,"[1, 0, 0, 1, 0]",13,28.8,7.6,Maximize: 12*x0 + 17*x1 + 3*x2 + 1*x3 + 5*x4,Constraint: 19*x0 + 32*x1 + 40*x2 + 5*x3 + 48*x4 <= 28
3178,"[7, 43, 40, 29, 38]","[6, 18, 2, 12, 9]",65,"[1, 1, 0, 0, 0]",24,31.4,9.4,Maximize: 6*x0 + 18*x1 + 2*x2 + 12*x3 + 9*x4,Constraint: 7*x0 + 43*x1 + 40*x2 + 29*x3 + 38*x4 <= 65
3179,"[5, 25, 39, 11, 39]","[18, 16, 11, 6, 6]",34,"[1, 1, 0, 0, 0]",34,23.8,11.4,Maximize: 18*x0 + 16*x1 + 11*x2 + 6*x3 + 6*x4,Constraint: 5*x0 + 25*x1 + 39*x2 + 11*x3 + 39*x4 <= 34
3180,"[42, 25, 40, 33, 30]","[13, 17, 11, 5, 13]",92,"[0, 1, 0, 1, 1]",35,34.0,11.8,Maximize: 13*x0 + 17*x1 + 11*x2 + 5*x3 + 13*x4,Constraint: 42*x0 + 25*x1 + 40*x2 + 33*x3 + 30*x4 <= 92
3181,"[10, 43, 31, 45, 45]","[14, 19, 16, 11, 13]",33,"[0, 0, 1, 0, 0]",16,34.8,14.6,Maximize: 14*x0 + 19*x1 + 16*x2 + 11*x3 + 13*x4,Constraint: 10*x0 + 43*x1 + 31*x2 + 45*x3 + 45*x4 <= 33
3182,"[43, 15, 11, 29, 16]","[16, 18, 1, 7, 4]",37,"[0, 1, 0, 0, 1]",22,22.8,9.2,Maximize: 16*x0 + 18*x1 + 1*x2 + 7*x3 + 4*x4,Constraint: 43*x0 + 15*x1 + 11*x2 + 29*x3 + 16*x4 <= 37
3183,"[31, 14, 24, 15, 16]","[15, 5, 4, 9, 7]",22,"[0, 0, 0, 1, 0]",9,20.0,8.0,Maximize: 15*x0 + 5*x1 + 4*x2 + 9*x3 + 7*x4,Constraint: 31*x0 + 14*x1 + 24*x2 + 15*x3 + 16*x4 <= 22
3184,"[24, 29, 38, 39, 1]","[1, 16, 14, 2, 19]",73,"[0, 1, 1, 0, 1]",49,26.2,10.4,Maximize: 1*x0 + 16*x1 + 14*x2 + 2*x3 + 19*x4,Constraint: 24*x0 + 29*x1 + 38*x2 + 39*x3 + 1*x4 <= 73
3185,"[47, 46, 11, 42, 29]","[8, 8, 18, 14, 13]",77,"[0, 0, 1, 1, 0]",32,35.0,12.2,Maximize: 8*x0 + 8*x1 + 18*x2 + 14*x3 + 13*x4,Constraint: 47*x0 + 46*x1 + 11*x2 + 42*x3 + 29*x4 <= 77
3186,"[21, 46, 6, 18, 36]","[18, 13, 16, 5, 7]",32,"[1, 0, 1, 0, 0]",34,25.4,11.8,Maximize: 18*x0 + 13*x1 + 16*x2 + 5*x3 + 7*x4,Constraint: 21*x0 + 46*x1 + 6*x2 + 18*x3 + 36*x4 <= 32
3187,"[7, 6, 7, 36, 14]","[12, 18, 14, 9, 16]",35,"[1, 1, 1, 0, 1]",60,14.0,13.8,Maximize: 12*x0 + 18*x1 + 14*x2 + 9*x3 + 16*x4,Constraint: 7*x0 + 6*x1 + 7*x2 + 36*x3 + 14*x4 <= 35
3188,"[7, 18, 10, 30, 5]","[5, 12, 11, 8, 11]",53,"[1, 1, 1, 0, 1]",39,14.0,9.4,Maximize: 5*x0 + 12*x1 + 11*x2 + 8*x3 + 11*x4,Constraint: 7*x0 + 18*x1 + 10*x2 + 30*x3 + 5*x4 <= 53
3189,"[12, 14, 25, 40, 8]","[12, 12, 10, 6, 7]",58,"[1, 1, 1, 0, 0]",34,19.8,9.4,Maximize: 12*x0 + 12*x1 + 10*x2 + 6*x3 + 7*x4,Constraint: 12*x0 + 14*x1 + 25*x2 + 40*x3 + 8*x4 <= 58
3190,"[13, 39, 45, 23, 15]","[4, 7, 19, 10, 14]",23,"[0, 0, 0, 0, 1]",14,27.0,10.8,Maximize: 4*x0 + 7*x1 + 19*x2 + 10*x3 + 14*x4,Constraint: 13*x0 + 39*x1 + 45*x2 + 23*x3 + 15*x4 <= 23
3191,"[2, 49, 19, 18, 12]","[7, 13, 10, 16, 4]",67,"[1, 0, 1, 1, 1]",37,20.0,10.0,Maximize: 7*x0 + 13*x1 + 10*x2 + 16*x3 + 4*x4,Constraint: 2*x0 + 49*x1 + 19*x2 + 18*x3 + 12*x4 <= 67
3192,"[2, 30, 13, 44, 4]","[13, 16, 5, 14, 3]",47,"[1, 1, 1, 0, 0]",34,18.6,10.2,Maximize: 13*x0 + 16*x1 + 5*x2 + 14*x3 + 3*x4,Constraint: 2*x0 + 30*x1 + 13*x2 + 44*x3 + 4*x4 <= 47
3193,"[29, 34, 23, 49, 1]","[19, 6, 1, 16, 18]",95,"[1, 0, 0, 1, 1]",53,27.2,12.0,Maximize: 19*x0 + 6*x1 + 1*x2 + 16*x3 + 18*x4,Constraint: 29*x0 + 34*x1 + 23*x2 + 49*x3 + 1*x4 <= 95
3194,"[15, 33, 33, 4, 28]","[1, 16, 10, 19, 4]",58,"[1, 1, 0, 1, 0]",36,22.6,10.0,Maximize: 1*x0 + 16*x1 + 10*x2 + 19*x3 + 4*x4,Constraint: 15*x0 + 33*x1 + 33*x2 + 4*x3 + 28*x4 <= 58
3195,"[27, 42, 1, 29, 20]","[2, 7, 7, 8, 9]",31,"[0, 0, 1, 0, 1]",16,23.8,6.6,Maximize: 2*x0 + 7*x1 + 7*x2 + 8*x3 + 9*x4,Constraint: 27*x0 + 42*x1 + 1*x2 + 29*x3 + 20*x4 <= 31
3196,"[28, 5, 16, 39, 49]","[10, 16, 2, 6, 19]",35,"[1, 1, 0, 0, 0]",26,27.4,10.6,Maximize: 10*x0 + 16*x1 + 2*x2 + 6*x3 + 19*x4,Constraint: 28*x0 + 5*x1 + 16*x2 + 39*x3 + 49*x4 <= 35
3197,"[36, 4, 23, 18, 23]","[19, 15, 13, 3, 11]",34,"[0, 1, 1, 0, 0]",28,20.8,12.2,Maximize: 19*x0 + 15*x1 + 13*x2 + 3*x3 + 11*x4,Constraint: 36*x0 + 4*x1 + 23*x2 + 18*x3 + 23*x4 <= 34
3198,"[19, 17, 48, 33, 10]","[15, 11, 9, 12, 7]",31,"[1, 0, 0, 0, 1]",22,25.4,10.8,Maximize: 15*x0 + 11*x1 + 9*x2 + 12*x3 + 7*x4,Constraint: 19*x0 + 17*x1 + 48*x2 + 33*x3 + 10*x4 <= 31
3199,"[42, 28, 37, 4, 27]","[10, 7, 12, 10, 19]",24,"[0, 0, 0, 1, 0]",10,27.6,11.6,Maximize: 10*x0 + 7*x1 + 12*x2 + 10*x3 + 19*x4,Constraint: 42*x0 + 28*x1 + 37*x2 + 4*x3 + 27*x4 <= 24
3200,"[22, 3, 48, 45, 25]","[15, 14, 8, 12, 5]",63,"[1, 1, 0, 0, 1]",34,28.6,10.8,Maximize: 15*x0 + 14*x1 + 8*x2 + 12*x3 + 5*x4,Constraint: 22*x0 + 3*x1 + 48*x2 + 45*x3 + 25*x4 <= 63
3201,"[28, 24, 29, 21, 15]","[14, 17, 3, 5, 13]",93,"[1, 1, 0, 1, 1]",49,23.4,10.4,Maximize: 14*x0 + 17*x1 + 3*x2 + 5*x3 + 13*x4,Constraint: 28*x0 + 24*x1 + 29*x2 + 21*x3 + 15*x4 <= 93
3202,"[16, 16, 16, 1, 34]","[12, 7, 9, 19, 12]",20,"[1, 0, 0, 1, 0]",31,16.6,11.8,Maximize: 12*x0 + 7*x1 + 9*x2 + 19*x3 + 12*x4,Constraint: 16*x0 + 16*x1 + 16*x2 + 1*x3 + 34*x4 <= 20
3203,"[3, 11, 47, 4, 30]","[8, 1, 11, 15, 3]",58,"[1, 0, 1, 1, 0]",34,19.0,7.6,Maximize: 8*x0 + 1*x1 + 11*x2 + 15*x3 + 3*x4,Constraint: 3*x0 + 11*x1 + 47*x2 + 4*x3 + 30*x4 <= 58
3204,"[44, 9, 32, 34, 25]","[13, 7, 6, 14, 16]",42,"[0, 1, 0, 0, 1]",23,28.8,11.2,Maximize: 13*x0 + 7*x1 + 6*x2 + 14*x3 + 16*x4,Constraint: 44*x0 + 9*x1 + 32*x2 + 34*x3 + 25*x4 <= 42
3205,"[46, 38, 28, 24, 42]","[19, 17, 10, 11, 13]",55,"[0, 0, 1, 1, 0]",21,35.6,14.0,Maximize: 19*x0 + 17*x1 + 10*x2 + 11*x3 + 13*x4,Constraint: 46*x0 + 38*x1 + 28*x2 + 24*x3 + 42*x4 <= 55
3206,"[5, 45, 14, 17, 49]","[14, 2, 9, 10, 6]",74,"[1, 0, 1, 1, 0]",33,26.0,8.2,Maximize: 14*x0 + 2*x1 + 9*x2 + 10*x3 + 6*x4,Constraint: 5*x0 + 45*x1 + 14*x2 + 17*x3 + 49*x4 <= 74
3207,"[30, 31, 22, 22, 17]","[15, 10, 13, 3, 4]",56,"[1, 0, 1, 0, 0]",28,24.4,9.0,Maximize: 15*x0 + 10*x1 + 13*x2 + 3*x3 + 4*x4,Constraint: 30*x0 + 31*x1 + 22*x2 + 22*x3 + 17*x4 <= 56
3208,"[4, 18, 10, 4, 10]","[16, 10, 8, 5, 16]",33,"[1, 0, 1, 1, 1]",45,9.2,11.0,Maximize: 16*x0 + 10*x1 + 8*x2 + 5*x3 + 16*x4,Constraint: 4*x0 + 18*x1 + 10*x2 + 4*x3 + 10*x4 <= 33
3209,"[15, 43, 39, 12, 48]","[13, 16, 15, 12, 19]",98,"[1, 0, 0, 1, 1]",44,31.4,15.0,Maximize: 13*x0 + 16*x1 + 15*x2 + 12*x3 + 19*x4,Constraint: 15*x0 + 43*x1 + 39*x2 + 12*x3 + 48*x4 <= 98
3210,"[42, 36, 10, 31, 40]","[1, 2, 14, 13, 4]",55,"[0, 0, 1, 1, 0]",27,31.8,6.8,Maximize: 1*x0 + 2*x1 + 14*x2 + 13*x3 + 4*x4,Constraint: 42*x0 + 36*x1 + 10*x2 + 31*x3 + 40*x4 <= 55
3211,"[14, 43, 36, 22, 20]","[4, 13, 14, 4, 16]",70,"[1, 0, 1, 0, 1]",34,27.0,10.2,Maximize: 4*x0 + 13*x1 + 14*x2 + 4*x3 + 16*x4,Constraint: 14*x0 + 43*x1 + 36*x2 + 22*x3 + 20*x4 <= 70
3212,"[33, 18, 12, 2, 12]","[8, 5, 7, 9, 13]",61,"[1, 0, 1, 1, 1]",37,15.4,8.4,Maximize: 8*x0 + 5*x1 + 7*x2 + 9*x3 + 13*x4,Constraint: 33*x0 + 18*x1 + 12*x2 + 2*x3 + 12*x4 <= 61
3213,"[31, 24, 14, 33, 15]","[11, 5, 4, 3, 18]",60,"[1, 0, 1, 0, 1]",33,23.4,8.2,Maximize: 11*x0 + 5*x1 + 4*x2 + 3*x3 + 18*x4,Constraint: 31*x0 + 24*x1 + 14*x2 + 33*x3 + 15*x4 <= 60
3214,"[32, 7, 24, 29, 32]","[16, 3, 12, 4, 5]",18,"[0, 1, 0, 0, 0]",3,24.8,8.0,Maximize: 16*x0 + 3*x1 + 12*x2 + 4*x3 + 5*x4,Constraint: 32*x0 + 7*x1 + 24*x2 + 29*x3 + 32*x4 <= 18
3215,"[11, 35, 31, 38, 18]","[3, 7, 4, 9, 9]",86,"[1, 0, 0, 1, 1]",21,26.6,6.4,Maximize: 3*x0 + 7*x1 + 4*x2 + 9*x3 + 9*x4,Constraint: 11*x0 + 35*x1 + 31*x2 + 38*x3 + 18*x4 <= 86
3216,"[9, 44, 48, 9, 36]","[9, 3, 17, 12, 3]",28,"[1, 0, 0, 1, 0]",21,29.2,8.8,Maximize: 9*x0 + 3*x1 + 17*x2 + 12*x3 + 3*x4,Constraint: 9*x0 + 44*x1 + 48*x2 + 9*x3 + 36*x4 <= 28
3217,"[30, 34, 31, 27, 2]","[4, 3, 1, 6, 11]",73,"[1, 0, 0, 1, 1]",21,24.8,5.0,Maximize: 4*x0 + 3*x1 + 1*x2 + 6*x3 + 11*x4,Constraint: 30*x0 + 34*x1 + 31*x2 + 27*x3 + 2*x4 <= 73
3218,"[36, 49, 34, 43, 31]","[5, 14, 16, 15, 2]",96,"[0, 0, 1, 1, 0]",31,38.6,10.4,Maximize: 5*x0 + 14*x1 + 16*x2 + 15*x3 + 2*x4,Constraint: 36*x0 + 49*x1 + 34*x2 + 43*x3 + 31*x4 <= 96
3219,"[6, 23, 48, 39, 5]","[19, 4, 4, 3, 19]",15,"[1, 0, 0, 0, 1]",38,24.2,9.8,Maximize: 19*x0 + 4*x1 + 4*x2 + 3*x3 + 19*x4,Constraint: 6*x0 + 23*x1 + 48*x2 + 39*x3 + 5*x4 <= 15
3220,"[2, 16, 29, 48, 14]","[5, 19, 6, 13, 8]",70,"[1, 1, 1, 0, 1]",38,21.8,10.2,Maximize: 5*x0 + 19*x1 + 6*x2 + 13*x3 + 8*x4,Constraint: 2*x0 + 16*x1 + 29*x2 + 48*x3 + 14*x4 <= 70
3221,"[48, 16, 28, 49, 1]","[11, 14, 18, 12, 3]",22,"[0, 1, 0, 0, 1]",17,28.4,11.6,Maximize: 11*x0 + 14*x1 + 18*x2 + 12*x3 + 3*x4,Constraint: 48*x0 + 16*x1 + 28*x2 + 49*x3 + 1*x4 <= 22
3222,"[14, 19, 6, 10, 39]","[10, 9, 6, 12, 16]",90,"[1, 1, 1, 1, 1]",53,17.6,10.6,Maximize: 10*x0 + 9*x1 + 6*x2 + 12*x3 + 16*x4,Constraint: 14*x0 + 19*x1 + 6*x2 + 10*x3 + 39*x4 <= 90
3223,"[1, 15, 16, 13, 48]","[12, 13, 16, 19, 11]",82,"[1, 1, 1, 1, 0]",60,18.6,14.2,Maximize: 12*x0 + 13*x1 + 16*x2 + 19*x3 + 11*x4,Constraint: 1*x0 + 15*x1 + 16*x2 + 13*x3 + 48*x4 <= 82
3224,"[7, 21, 2, 5, 44]","[3, 2, 11, 3, 5]",74,"[1, 0, 1, 1, 1]",22,15.8,4.8,Maximize: 3*x0 + 2*x1 + 11*x2 + 3*x3 + 5*x4,Constraint: 7*x0 + 21*x1 + 2*x2 + 5*x3 + 44*x4 <= 74
3225,"[49, 31, 2, 39, 14]","[15, 6, 13, 8, 14]",55,"[0, 0, 1, 1, 1]",35,27.0,11.2,Maximize: 15*x0 + 6*x1 + 13*x2 + 8*x3 + 14*x4,Constraint: 49*x0 + 31*x1 + 2*x2 + 39*x3 + 14*x4 <= 55
3226,"[38, 27, 17, 22, 48]","[6, 19, 1, 1, 5]",62,"[0, 1, 1, 0, 0]",20,30.4,6.4,Maximize: 6*x0 + 19*x1 + 1*x2 + 1*x3 + 5*x4,Constraint: 38*x0 + 27*x1 + 17*x2 + 22*x3 + 48*x4 <= 62
3227,"[31, 20, 12, 33, 3]","[1, 6, 18, 11, 6]",63,"[0, 0, 1, 1, 1]",35,19.8,8.4,Maximize: 1*x0 + 6*x1 + 18*x2 + 11*x3 + 6*x4,Constraint: 31*x0 + 20*x1 + 12*x2 + 33*x3 + 3*x4 <= 63
3228,"[13, 25, 18, 20, 22]","[6, 5, 6, 14, 1]",78,"[1, 1, 1, 1, 0]",31,19.6,6.4,Maximize: 6*x0 + 5*x1 + 6*x2 + 14*x3 + 1*x4,Constraint: 13*x0 + 25*x1 + 18*x2 + 20*x3 + 22*x4 <= 78
3229,"[40, 46, 15, 12, 28]","[12, 19, 18, 7, 16]",36,"[0, 0, 1, 1, 0]",25,28.2,14.4,Maximize: 12*x0 + 19*x1 + 18*x2 + 7*x3 + 16*x4,Constraint: 40*x0 + 46*x1 + 15*x2 + 12*x3 + 28*x4 <= 36
3230,"[5, 47, 25, 27, 27]","[4, 6, 5, 11, 5]",56,"[0, 0, 0, 1, 1]",16,26.2,6.2,Maximize: 4*x0 + 6*x1 + 5*x2 + 11*x3 + 5*x4,Constraint: 5*x0 + 47*x1 + 25*x2 + 27*x3 + 27*x4 <= 56
3231,"[20, 5, 38, 33, 30]","[18, 5, 12, 14, 14]",51,"[1, 0, 0, 0, 1]",32,25.2,12.6,Maximize: 18*x0 + 5*x1 + 12*x2 + 14*x3 + 14*x4,Constraint: 20*x0 + 5*x1 + 38*x2 + 33*x3 + 30*x4 <= 51
3232,"[10, 28, 15, 14, 44]","[19, 17, 8, 2, 6]",54,"[1, 1, 1, 0, 0]",44,22.2,10.4,Maximize: 19*x0 + 17*x1 + 8*x2 + 2*x3 + 6*x4,Constraint: 10*x0 + 28*x1 + 15*x2 + 14*x3 + 44*x4 <= 54
3233,"[17, 31, 31, 42, 36]","[3, 13, 6, 16, 10]",76,"[0, 1, 0, 1, 0]",29,31.4,9.6,Maximize: 3*x0 + 13*x1 + 6*x2 + 16*x3 + 10*x4,Constraint: 17*x0 + 31*x1 + 31*x2 + 42*x3 + 36*x4 <= 76
3234,"[21, 43, 3, 35, 30]","[19, 8, 16, 19, 17]",22,"[1, 0, 0, 0, 0]",19,26.4,15.8,Maximize: 19*x0 + 8*x1 + 16*x2 + 19*x3 + 17*x4,Constraint: 21*x0 + 43*x1 + 3*x2 + 35*x3 + 30*x4 <= 22
3235,"[9, 20, 42, 46, 9]","[19, 5, 1, 2, 7]",22,"[1, 0, 0, 0, 1]",26,25.2,6.8,Maximize: 19*x0 + 5*x1 + 1*x2 + 2*x3 + 7*x4,Constraint: 9*x0 + 20*x1 + 42*x2 + 46*x3 + 9*x4 <= 22
3236,"[11, 19, 40, 29, 11]","[5, 8, 19, 6, 1]",22,"[0, 1, 0, 0, 0]",8,22.0,7.8,Maximize: 5*x0 + 8*x1 + 19*x2 + 6*x3 + 1*x4,Constraint: 11*x0 + 19*x1 + 40*x2 + 29*x3 + 11*x4 <= 22
3237,"[1, 8, 33, 21, 10]","[5, 3, 17, 19, 7]",99,"[1, 1, 1, 1, 1]",51,14.6,10.2,Maximize: 5*x0 + 3*x1 + 17*x2 + 19*x3 + 7*x4,Constraint: 1*x0 + 8*x1 + 33*x2 + 21*x3 + 10*x4 <= 99
3238,"[6, 14, 20, 7, 10]","[2, 15, 17, 9, 15]",71,"[1, 1, 1, 1, 1]",58,11.4,11.6,Maximize: 2*x0 + 15*x1 + 17*x2 + 9*x3 + 15*x4,Constraint: 6*x0 + 14*x1 + 20*x2 + 7*x3 + 10*x4 <= 71
3239,"[48, 34, 4, 13, 32]","[15, 11, 5, 7, 16]",34,"[0, 0, 0, 0, 1]",16,26.2,10.8,Maximize: 15*x0 + 11*x1 + 5*x2 + 7*x3 + 16*x4,Constraint: 48*x0 + 34*x1 + 4*x2 + 13*x3 + 32*x4 <= 34
3240,"[12, 26, 12, 27, 39]","[14, 18, 2, 4, 11]",43,"[1, 1, 0, 0, 0]",32,23.2,9.8,Maximize: 14*x0 + 18*x1 + 2*x2 + 4*x3 + 11*x4,Constraint: 12*x0 + 26*x1 + 12*x2 + 27*x3 + 39*x4 <= 43
3241,"[49, 47, 8, 47, 27]","[1, 4, 3, 16, 18]",36,"[0, 0, 1, 0, 1]",21,35.6,8.4,Maximize: 1*x0 + 4*x1 + 3*x2 + 16*x3 + 18*x4,Constraint: 49*x0 + 47*x1 + 8*x2 + 47*x3 + 27*x4 <= 36
3242,"[11, 14, 43, 48, 3]","[10, 3, 18, 7, 18]",41,"[1, 1, 0, 0, 1]",31,23.8,11.2,Maximize: 10*x0 + 3*x1 + 18*x2 + 7*x3 + 18*x4,Constraint: 11*x0 + 14*x1 + 43*x2 + 48*x3 + 3*x4 <= 41
3243,"[7, 19, 4, 13, 16]","[1, 10, 4, 18, 9]",38,"[0, 1, 1, 1, 0]",32,11.8,8.4,Maximize: 1*x0 + 10*x1 + 4*x2 + 18*x3 + 9*x4,Constraint: 7*x0 + 19*x1 + 4*x2 + 13*x3 + 16*x4 <= 38
3244,"[6, 38, 32, 24, 33]","[17, 15, 2, 2, 16]",86,"[1, 1, 0, 0, 1]",48,26.6,10.4,Maximize: 17*x0 + 15*x1 + 2*x2 + 2*x3 + 16*x4,Constraint: 6*x0 + 38*x1 + 32*x2 + 24*x3 + 33*x4 <= 86
3245,"[36, 47, 41, 29, 5]","[10, 10, 5, 14, 2]",40,"[0, 0, 0, 1, 1]",16,31.6,8.2,Maximize: 10*x0 + 10*x1 + 5*x2 + 14*x3 + 2*x4,Constraint: 36*x0 + 47*x1 + 41*x2 + 29*x3 + 5*x4 <= 40
3246,"[11, 6, 32, 31, 42]","[2, 6, 16, 8, 17]",76,"[0, 0, 1, 0, 1]",33,24.4,9.8,Maximize: 2*x0 + 6*x1 + 16*x2 + 8*x3 + 17*x4,Constraint: 11*x0 + 6*x1 + 32*x2 + 31*x3 + 42*x4 <= 76
3247,"[26, 20, 19, 17, 7]","[8, 18, 4, 13, 5]",41,"[0, 1, 0, 1, 0]",31,17.8,9.6,Maximize: 8*x0 + 18*x1 + 4*x2 + 13*x3 + 5*x4,Constraint: 26*x0 + 20*x1 + 19*x2 + 17*x3 + 7*x4 <= 41
3248,"[1, 46, 40, 29, 7]","[13, 2, 18, 18, 13]",27,"[1, 0, 0, 0, 1]",26,24.6,12.8,Maximize: 13*x0 + 2*x1 + 18*x2 + 18*x3 + 13*x4,Constraint: 1*x0 + 46*x1 + 40*x2 + 29*x3 + 7*x4 <= 27
3249,"[41, 35, 32, 44, 32]","[3, 19, 19, 7, 5]",33,"[0, 0, 1, 0, 0]",19,36.8,10.6,Maximize: 3*x0 + 19*x1 + 19*x2 + 7*x3 + 5*x4,Constraint: 41*x0 + 35*x1 + 32*x2 + 44*x3 + 32*x4 <= 33
3250,"[10, 48, 9, 1, 41]","[3, 10, 5, 1, 6]",90,"[1, 1, 1, 1, 0]",19,21.8,5.0,Maximize: 3*x0 + 10*x1 + 5*x2 + 1*x3 + 6*x4,Constraint: 10*x0 + 48*x1 + 9*x2 + 1*x3 + 41*x4 <= 90
3251,"[9, 15, 45, 6, 10]","[11, 6, 12, 12, 9]",74,"[1, 0, 1, 1, 1]",44,17.0,10.0,Maximize: 11*x0 + 6*x1 + 12*x2 + 12*x3 + 9*x4,Constraint: 9*x0 + 15*x1 + 45*x2 + 6*x3 + 10*x4 <= 74
3252,"[36, 38, 47, 2, 6]","[15, 2, 1, 17, 19]",68,"[1, 0, 0, 1, 1]",51,25.8,10.8,Maximize: 15*x0 + 2*x1 + 1*x2 + 17*x3 + 19*x4,Constraint: 36*x0 + 38*x1 + 47*x2 + 2*x3 + 6*x4 <= 68
3253,"[34, 21, 42, 43, 15]","[2, 18, 8, 9, 19]",97,"[0, 1, 0, 1, 1]",46,31.0,11.2,Maximize: 2*x0 + 18*x1 + 8*x2 + 9*x3 + 19*x4,Constraint: 34*x0 + 21*x1 + 42*x2 + 43*x3 + 15*x4 <= 97
